Pregunta;Opcion 1;Opcion 2;Opcion 3;Opcion 4;Opcion 5;Respuestas
A company is considering migrating from on-premises to the AWS Cloud. In order to handle the workload efficiently the IT team needs to offload this heavy lifting as much as possible.What should the IT team do to accomplish this goal?;Use AWS Managed Services to provision run and support the company infrastructure.;Use Amazon Elastic Container Service (Amazon ECS) on Amazon EC2 instances.;Overprovision compute capacity for seasonal events and traffic spikes to prevent downtime.;Build hardware refreshes into the operational calendar to ensure availability.;;1
Which of the below are components that can be configured in the VPC section of the AWS management console? (Select TWO.) ;EBS volumes;Endpoints;Elastic Load Balancer;Subnet;DNS records;2 4
In order to perform analytical tasks a company needs a data warehouse. Standard SQL queries must be supported by the data warehouse.Which AWS service meets these requirements?;Amazon Athena;Amazon RDS;Amazon EMR;Amazon Redshift;;4
When storing passwords on AWS what is the MOST secure method?;Store passwords as AWS CloudFormation parameters.;Store passwords in AWS Storage Gateway.;Store passwords in AWS Secrets Manager.;Store passwords in an Amazon S3 bucket.;;2
What does an organization need to do to move to another AWS region?;Submit an application to extend their account to the additional region;Create a separate IAM account for that region;Apply for another AWS account in that region;Just start deploying resources in the additional region;;3
A company needs significant cost savings for their non-interruptible workloads on AWS.Which EC2 instance pricing model should the company select?;Reserved Instances;Spot Instances;On-Demand Instances;Dedicated Hosts;;1
Which AWS service monitors AWS accounts continuously for malicious activity and unauthorized behavior?;AWS Config;Amazon GuardDuty;Amazon Inspector;Amazon Macie;;2
Which services can be used for asynchronous integration between application components? (Select TWO.);AWS Route 53;Amazon SQS;AWS CloudFormation;Amazon Step Functions;Amazon EC2 Auto Scaling;2 4
Which AWS service enables hybrid cloud storage between on-premises and the AWS Cloud?;AWS Storage Gateway;Amazon CloudFront;Amazon Elastic File System (EFS);Amazon S3 Cross Region Replication (CRR);;1
What does an organization need to do in Amazon IAM to enable user access to services being launched in new region?;Update the user accounts to allow access from another region;Enable global mode in IAM to provision the required access;Create new user accounts in the new region;Nothing; IAM is global;4
What AWS service offers managed DDoS protection?;Amazon Inspector;AWS Firewall Manager;Amazon GuardDuty;AWS Shield;;4
What offerings are included in the Amazon LightSail product set? (Select TWO.);Managed MySQL database;NoSQL database;Virtual Private Server;Serverless functions;File storage;1 3
Which of the following must be used together to gain programmatic access to an AWS account? (Select TWO.);A user ID;A primary key;A secondary key;An access key ID;A secret access key;4 5
Which of the following are advantages of using the AWS cloud computing over legacy IT? (Select TWO.);You are able to pass responsibility for the availability of your application to AWS;You can bring services closer to your end users;You can bring new applications to market faster;You don't need to patch your operating systems;You don't need to worry about over provisioning as you can elastically scale;3 5
Which AWS service can assist with providing recommended actions on cost optimization?;AWS Inspector;AWS Artifact;Amazon CloudWatch Events;AWS Trusted Advisor;;4
Which service is used introduce fault tolerance into an application architecture?;Amazon DynamoDB;Amazon Elastic Load Balancing;Amazon CloudFront;Amazon ElastiCache;;2
Which service allows an organization to bring their own licensing on host hardware that is physically isolated from other AWS accounts?;EC2 Dedicated Hosts;EC2 Dedicated Instances;EC2 Reserved Instances;EC2 Spot Instances;;1
What information must be entered into the AWS TCO Calculator?;The number of servers in your company;The number of applications in your company;The number of end users in your company;The number of storage systems in your company;;1
Which AWS services form the app-facing services of the AWS serverless infrastructure? (Select TWO.);AWS Lambda;Amazon DynamoDB;AWS Step Functions;Amazon EFS;Amazon API Gateway;1 5
Which tools can you use to manage identities in IAM? (Select TWO.);AWS Command Line Tools;EC2 Management Console;Amazon Workspaces;AWS Management Console;Amazon CloudWatch API;1 4
Which AWS service lets connected devices easily and securely interact with cloud applications and other devices?;Amazon Workspaces;AWS IoT Core;AWS Directory Service;AWS Server Migration Service (SMS);;2
Which AWS service can be used to prepare and load data for analytics using an extract transform and load (ETL) process?;AWS Glue;Amazon Athena;AWS Lambda;Amazon EMR;;1
What are the primary benefits of using AWS Elastic Load Balancing? (Select TWO.);Regional resilience;Automation;Caching;High availability;Elasticity;4 5
Which service can you use to monitor store and access log files generated by EC2 instances and on-premises servers? ;Amazon Kinesis;AWS OpsWorks;AWS CloudTrail;Amazon CloudWatch Logs;;4
How can a company protect their Amazon S3 data from a regional disaster?;Enable Multi-Factor Authentication (MFA) delete;Use Cross-Region Replication (CRR) to copy to another region;Archive to Amazon Glacier;Use lifecycle actions to move to another S3 storage class;;2
Which of the following constitute the six pillars for the AWS Well-Architected Framework? (Select TWO.);Performance efficiency and cost optimization;Cost prioritization and cost optimization;Operational excellence elasticity and scalability;Operational excellence security and reliability;Data consistency and cost optimization;1 4
To reward customers for using their services what are two ways AWS reduce prices? (Select TWO.);Discounts for using a wider variety of services;Reduction in inbound data transfer charges;Volume based discounts when you use more services;Reduced cost for reserved capacity;Removal of termination fees for customers who spend more;3 4
Which AWS program can help an organization to design build and manage their workloads on AWS?;APN Technology Consultants;AWS Business Development Manager;AWS Technical Account Manager;APN Consulting Partners;;4
A company has deployed several relational databases on Amazon RDS. Every month the database software vendor releases new security patches that need to be applied to the database.What is the MOST efficient way to apply the security patches?;Connect to each database instance on a monthly basis and download and apply the necessary security patches from the vendor;Use AWS Systems Manager to automate database patching according to a schedule;In AWS Config configure a rule for the instances and the required patch level;Enable automatic patching for the instances using the Amazon RDS console;;4
A developer needs a way to automatically provision a collection of AWS resources. Which AWS service is primarily used for deploying infrastructure as code?;AWS CloudFormation;AWS CodeDeploy;Jenkins;AWS Elastic Beanstalk;;1
Which of the following would be good reasons to move from on-premises to the AWS Cloud? (Select TWO.);Outsource all security responsibility;Reduce costs through easier right-sizing of workloads;Gain access to free technical support services;Improve agility and elasticity;Gain end-to-end operational management of the entire infrastructure stack;2 4
What is the relationship between subnets and availability zones?;Subnets contain one or more availability zones;You can create one or more subnets within each availability zone;You can create one subnet per availability zone;Subnets span across multiple availability zones;;2
A user deploys an Amazon Aurora database instance in multiple Availability Zones.This strategy involves which pillar of the AWS Well-Architected Framework?;Cost optimization;Reliability;Security;Performance ef���ciency;;2
What are the benefits of using IAM roles for applications that run on EC2 instances? (Select TWO.) ;More secure than storing access keys within applications;Role credentials are permanent;Easier to configure than using storing access keys within the EC2 instance;Can apply multiple roles to a single instance;It is easier to manage IAM roles;1 5
Which services allow you to store files on AWS? (Select TWO.);AWS Lambda;Amazon LightSail;Amazon SQS;Amazon EBS;Amazon EFS;4 5
An Elastic IP Address can be remapped between EC2 instances across which boundaries?;Edge Locations;Regions;DB Subnets;Availability Zones;;4
An application that is deployed across multiple Availability Zones could be described as:;Being secure;Having elasticity;Having global reach;Being highly available;;4
What is an Edge location?;A VPC peering connection endpoint;A content delivery network (CDN) endpoint for CloudFront;A virtual private gateway for VPN;A public endpoint for Amazon S3;;2
Which service runs your application code only when needed without needing to run servers?;Amazon EC2;AWS LightSail;Amazon ECS;AWS Lambda;;4
What is the name of the AWS managed Docker registry service used by the Amazon Elastic Container Service (ECS)?;Docker Container Registry;Elastic Container Registry;ECS Container Registry;Docker Image Repository;;2
A company wants to utilize a pay as you go cloud model for all of their applications without CAPEX costs and which is highly elastic. Which cloud delivery model will suit them best?;Hybrid;Private;On-premise;Public;;4
Which AWS IAM best practice recommends applying the minimum permissions necessary to perform a task when creating IAM policies?;Create individual IAM users;Grant least privilege;Use roles to delegate permissions;Enable MFA for privileged users;;2
Which AWS service enables developers and data scientists to build train and deploy machine learning models?;Amazon Rekognition;Amazon MQ;Amazon SageMaker;Amazon Comprehend;;3
Which AWS components aid in the construction of fault-tolerant applications? (Select TWO.);Block device mappings;Elastic IP addresses;Tags;ARNs;AMIs;2 5
What is the name of the online self-service portal that AWS provides to enable customers to view reports and such as PCI reports and accept agreements?;AWS Documentation Portal;AWS DocuFact;AWS Artifact;AWS Compliance Portal;;3
Which type of Amazon RDS automated backup allows you to restore the database with a granularity of as little as 5 minutes?;Point-in-time recovery;Snapshot backup;Incremental backup;Full backup;;1
A cloud practitioner needs to decrease application latency and increase performance for globally distributed users.Which services can assist? (Select TWO.);Amazon S3;Amazon CloudFront;Amazon ECS;Amazon ElastiCache;Amazon AppStream 2.0;1 2
Which type of storage stores objects comprised of key value pairs?;Amazon EBS;Amazon DynamoDB;Amazon S3;Amazon EFS;;3
Which service provides alerts and remediation guidance when AWS is experiencing events that may impact you?;AWS Health Dashboard;AWS Inspector;AWS Shield;AWS Trusted Advisor;;1
How can you configure Amazon Route 53 to monitor the health and performance of your application?;Using CloudWatch;Using DNS lookups;Using the Route 53 API;Using Route 53 health checks;;4
Which AWS support plan provides email only support by Cloud Support Associates?;Developer;Basic;Business;Enterprise;;1
What are two benefits of using AWS Lambda? (Select TWO.);Flexible operating system choices;Continuous scaling (scale out);No servers to manage;Integrated snapshots;Open source software;1 2
When designing a VPC what is the purpose of an Internet Gateway?;It's used for making VPN connections to a VPC;Provides Internet access for EC2 instances in private subnets;It's a bastion host for inbound management connections;Enables Internet communications for instances in public subnets;;4
Which of the following Amazon EC2 pricing models allows customers to use existing server-bound software licenses?;Dedicated Hosts;On-Demand Instances;Spot Instances;Reserved Instances;;1
Which of the following statements is correct about Amazon S3 cross-region replication? ;Both source and destination S3 buckets must have versioning disabled;S3 buckets con���gured for cross-region replication can be owned by a single AWS account or by different accounts;The source S3 bucket owner must have the source and destination AWS Regions disabled for their account;The source and destination S3 buckets cannot be in different AWS Regions;;2
Which of the below is an example of optimizing for cost?;Deploy resources with AWS CloudFormation;Replace an EC2 compute instance with AWS Lambda;Choosing the fastest EC2 instance to ensure performance;Provision extra capacity to allow for growth;;2
What are two correct statements about AWS Organizations with consolidated billing? (Select TWO.) ;Volume pricing discounts applied across multiple accounts;Multiple bills are provided per organization;CloudTrail can be configured per organization;Linked accounts lose their management independence;One bill provided for multiple accounts;1 5
Which AWS security service provides a firewall at the subnet level within a VPC? ;Network Access Control List;IAM Policy;Security Group;Bucket Policy;;1
What charges are applicable to Amazon S3 Standard storage class? (Select TWO.) ;Data ingress;Minimum capacity charge per object;Data egress;Retrieval fee;Per GB/month storage fee;3 5
How can an online education company ensure their video courses play with minimal latency for their users around the world?;Use Amazon Aurora Global Database;Use Amazon CloudFront to get the content closer to users;Use Amazon EBS Cross Region Replication to get the content close to the users;Use Amazon S3 Transfer Acceleration to speed up downloads;;2
Which AWS service can be used to send automated notifications to HTTP endpoints?;Amazon SWF;Amazon SNS;Amazon SES;Amazon SQS;;2
Which AWS feature of Amazon EC2 allows an administrator to create a standardized image that can be used for launching new instances?;Amazon Block Template;Amazon EBS Mount Point;Amazon Golden Image;Amazon Machine Image;;4
Which service is used for caching data?;AWS Key Management Service (KMS);Amazon Elastic File System (EFS);Amazon DynamoDB DAX;Amazon Simple Queue Service (SQS);;3
What feature of Amazon S3 enables you to set rules to automatically transfer objects between different storage classes at defined time intervals?;Auto Lifecycle Scaling;S3 Archiving;Object Lifecycle Management;Elastic Data Management;;3
Under the AWS Shared Responsibility Model which of the following is the customer NOT responsible for?;Applying encryption to data stored on an EBS volume;Installing firmware updates on host servers;Applying bucket policies to share Amazon S3 data;Adding firewall rules to security groups and network ACLs;;2
Which of the following descriptions is incorrect in relation to the design of Availability Zones?;Each AZ is designed as an independent failure zone;AZs are physically separated within a typical metropolitan region and are located in lower risk flood plains;AZ's have direct low-latency high throughput and redundant network connections between each other;Each subnet in a VPC is mapped to all AZs in the region;;4
With which service can a developer upload code using a ZIP or WAR file and have the service handle the end-to-end deployment of the resources?;AWS Elastic Beanstalk;Amazon ECS;AWS CodeCommit;AWS CodeDeploy;;1
A company needs protection from distributed denial of service (DDoS) attacks on its website and assistance from AWS experts during such events. Which AWS managed service will meet these requirements?;Amazon GuardDuty;AWS Firewall Manager;AWS Web Application Firewall;AWS Shield Advanced;;4
A Cloud Practitioner is developing a disaster recovery plan and intends to replicate data between multiple geographic areas.Which of the following meets these requirements?;Availability Zones;AWS Accounts;Edge locations;AWS Regions;;4
Which AWS service is part of the suite of serverless services and runs code as functions?;Amazon EKS;Amazon ECS;AWS Lambda;AWS CodeCommit;;3
Assuming you have configured them correctly which AWS services can scale automatically without intervention? (Select TWO.);Amazon EBS;Amazon DynamoDB;Amazon S3;Amazon RDS;Amazon EC2;2 3
Which support plan is the lowest cost option that allows unlimited cases to be open?;Developer;Enterprise;Business;Basic;;1
How can a company connect from their on-premises network to VPCs in multiple regions using private connections?;Inter-Region VPC Peering;AWS Managed VPN;Amazon CloudFront;AWS Direct Connect Gateway;;4
Which type of EBS volumes can be encrypted?;Only root volumes can have encryption applied at launch time;Both non-root and root volumes;Only non-root volumes created from snapshots;Non-root volumes only;;2
Which DynamoDB feature provides in-memory acceleration to tables that result in significant performance improvements?;Amazon DynamoDB Accelerator (DAX);Amazon ElastiCache;Amazon EFS;Amazon CloudFront;;1
A Cloud Practitioner needs to rapidly deploy a popular IT solution and start using it immediately.What should the Cloud Practitioner use?;Amazon CloudFront;AWS Elastic Beanstalk;AWS Well-Architected Framework documentation;AWS Quick Start reference deployments;;4
Which AWS database service is schema-less and can be scaled dynamically without incurring downtime?;Amazon RDS;Amazon DynamoDB;Amazon Aurora;Amazon RedShift;;2
Which HTTP code indicates a successful upload of an object to Amazon S3?;400;300;200;500;;3
According to the AWS Shared Responsibility Model which of the following is a shared control?;Client-side data encryption;Operating system patching;Protection of infrastructure;Awareness and training;;4
Which resource should you use to access AWS security and compliance reports?;AWS Business Associate Addendum (BAA);AWS IAM;AWS Artifact;AWS Organizations; ;3
Which service allows you to monitor and troubleshoot systems using system and application log files generated by those systems?;CloudWatch Logs;CloudWatch Metrics;CloudTrail Logs;CloudTrail Metrics; ;1
A company is using the AWS CLI and programmatic access of AWS resources from its on-premises network.What is a mandatory requirement in this scenario?;Using an AWS access key and a secret key;Using an Amazon EC2 key pair;Using an AWS Direct Connect connection;Using Amazon API Gateway;;1
How can a company facilitate the sharing of data over private connections between two accounts they own within a region?;Create a VPC peering connection;Create a subnet peering connection;Configure matching CIDR address ranges;Create an internal ELB;;1
Which AWS technology enables you to group resources that share one or more tags?;Organization groups;Consolidation groups;Resource groups;Tag groups;;3
A Cloud Practitioner is creating the business process workflows associated with an order fulfilment system. Which AWS service can assist with coordinating tasks across distributed application components?;Amazon SNS;AWS STS;Amazon SWF;Amazon SQS; ;3
Which type of scaling does Amazon EC2 Auto Scaling provide? ;Horizontal;Vertical;Linear;Incremental; ;1
Which of the following are examples of horizontal scaling? (Select TWO.);Add more instances as demand increases;Add more CPU/RAM to existing instances as demand increases;Requires a restart to scale up or down;Automatic scaling using services such as AWS Auto Scaling;Scalability is limited by maximum instance size;1 4
You need to connect your companys on-premise network into AWS and would like to establish an AWS managed VPN service. Which of the following configuration items needs to be setup on the Amazon VPC side of the connection?;A Network Address Translation device;A Virtual Private Gateway;A Firewall;A Customer Gateway;;2
Which of the following are NOT features of AWS IAM? (Select TWO.);Logon using local user accounts;Identity federation;Charged for what you use;Shared access to your AWS account;PCI DSS compliance;1 3
What is the name for the top-level container used to hold objects within Amazon S3?;Instance Store;Directory;Bucket;Folder;;3
Which AWS service provides the ability to detect inadvertent data leaks of personally identifiable information (PII) and user credential data?;Amazon Inspector;Amazon Macie;Amazon GuardDuty;AWS Shield;;2
Under the AWS Shared Responsibility Model who is responsible for what? (Select TWO.);Customers are responsible for networking traffic protection;AWS are responsible for networking infrastructure;Customers are responsible for compute infrastructure;AWS are responsible for network and firewall configuration;Customers are responsible for edge locations;1 2
Which AWS service can be used to run Docker containers?;Amazon ECR;AWS Fargate;Amazon RedShift;Amazon AMI;;2
Which of the following is NOT a best practice for protecting the root user of an AWS account?;Dont share the root user credentials;Remove administrative permissions;Lock away the AWS root user access keys;Enable MFA;;2
A web application running on AWS has been received malicious requests from the same set of IP addresses.Which AWS service can help secure the application and block the malicious traffic?;AWS WAF;Amazon GuardDuty;AWS IAM;Amazon SNS;;1
Which of the following are pillars from the six pillars of the AWS Well-Architected Framework? (Select TWO.);Economics;Resilience;Operational excellence;Confidentiality;Sustainability;3 5
Under the shared responsibility model which of the following tasks are the responsibility of the AWS customer? (Select TWO.);Ensuring that users have received security training in the use of AWS services;Ensuring that AWS NTP servers are set to the correct time;Ensuring that hardware is disposed of properly;Ensuring that access to data centers is restricted;Ensuring that application data is encrypted at rest;1 5
What is an example of scaling vertically?; Increasing the instance size with Amazon RDS;Adding read replicas to an Amazon RDS database;AWS Lambda adding concurrently executing functions;AWS Auto Scaling adding more EC2 instances; ;1
What advantages does the AWS cloud provide in relation to cost? (Select TWO.) ;Enterprise licensing discounts;One-off payments for on-demand resources;Fine-grained billing;Itemized power costs;Ability to turn off resources and not pay for them;3 5
How can a database administrator reduce operational overhead for a MySQL database?;Use AWS CloudFormation to manage operations;Migrate the database onto an Amazon RDS instance;Migrate the database onto AWS Lambda;Migrate the database onto an EC2 instance;;2
A startup eCommerce company needs to quickly deliver new website features in an iterative manner minimizing the time to market.Which AWS Cloud feature allows this?;Elasticity;Reliability;High availability;Agility;;4
Which of the statements below does NOT characterize cloud computing?;With cloud computing you get to benefit from massive economies of scale;With cloud computing you can increase your speed and agility;Cloud computing allows you to swap variable expense for capital expense;Cloud computing is the on-demand delivery of compute power;;3
Your manager has asked you to explain the benefits of using IAM groups. Which of the below statements are valid benefits? (Select TWO.);Provide the ability to create custom permission policies;You can restrict access to the subnets in your VPC;Provide the ability to nest groups to create an organizational hierarchy;Enables you to attach IAM permission policies to more than one user at a time;Groups let you specify permissions for multiple users which can make it easier to manage the permissions for those users;4 5
Which type of AWS database is ideally suited to analytics using SQL queries?;Amazon DynamoDB;Amazon RDS;Amazon RedShift;Amazon S3;;3
In which ways does AWSs pricing model benefit organizations?;Focus spend on capital expenditure; rather than operational expenditure;Reduces the people cost of application development;Eliminates licensing costs;Reduce the cost of maintaining idle resources;4
What do you need to log into the AWS console?;Certificate;User name and password;Key pair;Access key and secret ID; ;2
What type of cloud computing service type do AWS Elastic Beanstalk and Amazon RDS correspond to?   ;SaaS;Hybrid;IaaS;PaaS;;4
Which AWS service makes it easy to coordinate the components of distributed applications as a series of steps in a visual workflow?;AWS Step Functions;Amazon SNS;Amazon SES;Amazon SWF;;1
How can a systems administrator specify a script to be run on an EC2 instance during launch?;AWS Config;User Data;Run Command;Metadata;;2
You are evaluating AWS services that can assist with creating scalable application environments. Which of the statements below best describes the Elastic Load Balancer service? ;A highly available and scalable Domain Name System (DNS) service;A network service that provides an alternative to using the Internet to connect customers on-premise sites to AWS;Helps you ensure that you have the correct number of Amazon EC2 instances available to handle the load for your application;Automatically distributes incoming application traffic across multiple targets such as Amazon EC2 instances containers and IP addresses;;4
Which of the following acts as a virtual ���rewall at the Amazon EC2 instance level to control traffic for one or more instances?;Route table;Network Access Control Lists (ACL);Security groups;Virtual private gateways (VPG);;3
Which feature of Amazon S3 enables you to create rules to control the transfer of objects between different storage classes?;Lifecycle management;Object sharing;Bucket policies;Versioning;;1
The AWS Cost Management tools give users the ability to do which of the following? (Select TWO.) ;Create budgets and receive notifications if current or forecasted usage exceeds the budgets;Terminate any AWS resource automatically if budget thresholds are exceeded;Switch automatically to Reserved Instances or Spot Instances whichever is most cost-effective;Break down AWS costs by day service and linked AWS account;Move data stored in Amazon S3 to a more cost-effective storage class;1 4
How can a company configure automatic asynchronous copying of objects in Amazon S3 buckets across regions?;This is done by default by AWS;Using cross-region replication;By configuring multi-master replication;Using lifecycle actions;;2
Which AWS Cloud design principles can help increase reliability? (Select TWO.);Measuring overall ef���ciency;Adopting a consumption model;Automatically recovering from failure;Testing recovery procedures;Using monolithic architecture;3 4
Which of the authentication options below can be used to authenticate using AWS APIs? (Select TWO.);Security groups;Access keys;Server certificates;Key pairs;Server passwords;2 3
Where do Amazon Identity and Access Management (IAM) accounts need to be created for a global organization? ;Create them globally and then replicate them regionally;In each geographical area where the users are located;Just create them once as IAM is a global service;In each region where the users are located; ;3
Which of the following statements about AWSs pay-as-you-go pricing model is correct?;It results in reduced capital expenditures;It is relevant only for Amazon EC2 Amazon S3 and Amazon DynamoDB;It reduces operational expenditures;It requires payment up front for AWS services;;1
Which AWS security tool uses an agent installed in EC2 instances and assesses applications for vulnerabilities and deviations from best practices?   ;AWS Inspector;AWS Personal Health Dashboard;AWS Trusted Advisor;AWS TCO Calculator;;1
Based on the shared responsibility model which of the following security and compliance tasks is AWS responsible for?;Updating operating systems;Granting access to individuals and services;Updating Amazon EC2 host firmware;Encrypting data in transit;;3
Which AWS service can serve a static website?;Amazon S3;AWS X-Ray;Amazon QuickSight;Amazon Route 53;;1
What is the most efficient way to establish network connectivity from on-premises to multiple VPCs in different AWS Regions?;Use AWS Direct Connect;Use an AWS Transit Gateway;Use AWS Client VPN;Use AWS VPN;;2
Under the AWS shared responsibility model which of the following are customer responsibilities? (Select TWO.);Amazon RDS instance patching;Network and ���rewall con���gurations;Compute capacity availability;Physical security of data center facilities;Setting up server-side encryption on an Amazon S3 bucket;2 5
Which AWS service or feature helps restrict the AWS service resources and individual API actions the users and roles in each member account can access?;AWS Shield;Amazon Cognito;AWS Firewall Manager;AWS Organizations; ;4
Which AWS service is designed to be used for operational analytics?;Amazon EMR;Amazon Athena;Amazon Elasticsearch Service;Amazon QuickSight; ;3
What methods are available for scaling an Amazon RDS database? (Select TWO.) ;You can scale up by increasing storage capacity;You can scale up by moving to a larger instance size;You can scale out by implementing Elastic Load Balancing;You can scale out automatically with EC2 Auto Scaling;You can scale up automatically using AWS Auto Scaling;1 2
Your company has recently migrated to AWS. How can your CTO monitor the organizations costs?;AWS Consolidated Billing;AWS Cost Explorer;AWS CloudTrail;AWS Simple Monthly calculator;;2
Which AWS service is suitable for an event-driven workload?; AWS Lambda;Amazon EC2;Amazon Open 3D Engine;AWS Elastic Beanstalk;;1
Which pricing model will interrupt a running Amazon EC2 instance if capacity becomes temporarily unavailable?;Spot Instances;Standard Reserved Instances;Convertible Reserved Instances;On-Demand Instances;;1
Which type of Elastic Load Balancer operates at the TCP connection level?;Application Load Balancer (ALB);Classic Load Balancer (CLB);Network Load Balancer (NLB);Amazon Route 53 Load Balancer;;3
To reduce cost which of the following services support reservations? (Select TWO.) ;Amazon S3;Amazon ElastiCache;Amazon RedShift;AWS Elastic Beanstalk;Amazon CloudFormation;2 3
Your manager has asked you to explain some of the security features available in the AWS cloud. How can you describe the function of Amazon CloudHSM?; It is a firewall for use with web applications;It is a Public Key Infrastructure (PKI);It provides server-side encryption for S3 objects;It can be used to generate use and manage encryption keys in the cloud;;4
Where are Amazon EBS snapshots stored?;On an Amazon EBS instance store;On an Amazon EFS filesystem;On Amazon S3;Within the EBS block store;;3
Your organization has offices around the world and some employees travel between offices. How should their accounts be setup? ;Enable MFA for the accounts;Set the user account as a �??global�?� account when created;Create a separate account in IAM within each region in which they will travel;IAM is a global service just create the users in one place ;;4
Which AWS support plans provide 24x7 access to customer service?;Basic;Developer;Business;All plans;;4
According to the AWS Well-Architected Framework what change management steps should be taken to achieve reliability in the AWS Cloud? (Select TWO.) ;Use AWS CloudTrail to record AWS API calls into an auditable log ���le;Use Amazon GuardDuty to record API activity to an S3 bucket;Use service limits to prevent users from creating or making changes to AWS resources;Use AWS Certi���cate Manager to create a catalog of approved services;Use AWS Con���g to generate an inventory of AWS resources;1 5
What are the advantages of running a database service such as Amazon RDS in the cloud versus deploying on-premise? (Select TWO.) ;You can use any database software you like allowing greater flexibility;High availability is easier to implement due to built-in functionality for deploying read replicas and multi-AZ;There are no costs for replicating data between DBs in different data centers or regions;You have full control of the operating system and can install your own operational tools;Scalability is improved as it is quicker to implement and there is an abundance of capacity;2 5
Which AWS technology can be referred to as a virtual hard disk in the cloud�? ;Amazon EFS Filesystem;Amazon S3 Bucket;Amazon ENI;Amazon EBS volume;;4
How can you deploy your EC2 instances so that if a single data center fails you still have instances available?;Across Availability Zones;Across VPCs;Across regions;Across subnets;;1
Which AWS Glacier data access option retrieves data from an archive in 1-5 minutes? ;Standard;Accelerated;Express;Expedited;;4
What is the easiest way to store a backup of an EBS volume on Amazon S3?; Use S3 lifecycle actions to backup the volume;Write a custom script to copy the data into a bucket;Use Amazon Kinesis to process the data and store the results in S3;Create a snapshot of the volume;;4
